cap,via
20121,Broletto (Via)
20122,Brolo (Via)
20139,Broni (Via)
20129,Bronzetti Fratelli (Via)
20133,Bronzino (Via)
20143,Brugnatelli Luigi (Via)
20136,Brunacci Vincenzo (Via)
20146,Brunelleschi Filippo (Via)
20156,Brunetti Angelo (Via)
20126,Brunico (Via)
20158,Bruni Leonardo (Via)
20154,Bruno Giordano (Via)
20125,Bruschetti Giuseppe (Via)
20161,Brusuglio (Via)
20138,Bruto Marco (Via)
20161,Bruzzano (Piazza)
20146,Bruzzesi Giacinto (Via)
20134,Buccari (Cavalcavia)
20142,Buccinasco (Via)
20153,Budrio (Via)
20159,Budua (Via)
20124,Buenos Aires (Corso)
20124,Buenos Aires (Galleria)
20123,Buffoli Luigi (Via)
20144,Bugatti Gaspare (Via)
20154,Bullona (Via)
20121,Buonaparte (Foro)
20149,Buonarroti Michelangelo (Piazza)
20149,Buonarroti Michelangelo (Via)
20145,Buonarroti Michelangelo (Via)
20135,Buozzi Bruno (Piazza)
20145,Burchiello (Via del)
20122,Burigozzo Marco (Via)
20135,Burlamacchi Francesco (Via)
20131,Buschi Averardo (Via)
20137,Busoni Ferruccio (Via)
20138,Busseto (Via)
20143,Bussola Dionigi (Via)
20151,Busto Arsizio (Via)
20158,Butti Enrico Annibale (Via)
20123,Buttinone Bernardino (Via)
20157,Buzzati Dino (Via)
20157,Buzzi Paolo (Via)
20154,Byron Giorgio (Viale)
20152,Cabella Bartolomeo (Via)
20144,Caboto Sebastiano (Via) 
20122,Cabrini Madre (Via)
20141,Caccia Dominioni Camillo (Largo)
20148,Caccialepori (Via)
20131,Caccianino Antonio (Via)
20153,Cacciatori Benedetto (Via)
20156,Cacciatori delle Alpi (Piazzale)
20124,Caccini Giulio (Via)
20129,Cadamosto Alvise (Via)
20137,Cadibona (Via)
20137,Cadolini Giovanni (Via)
20135,Cadore (Via)
20123,Cadorna Luigi (Piazzale)
20141,Caduti del Lavoro (Piazza)
20158,Cafiero Carlo (Via)
20127,Cagliari (Via)
20125,Cagliero Cardinale Giovanni (Via)
20162,Cagni Umberto (Via)
20154,Cagnola Luigi (Via)
20146,Cagnoni Amero (Via)
20162,Ca' Granda (Viale)
20158,Caianello (Via)
20124,Caiazzo (Piazza)
20136,Caimi Giuseppe (Via)
20153,Caio Mario (Via)
20123,Cairoli Benedetto (Largo) 
20121,Cairoli Benedetto (Largo)
20127,Cairoli Bono Adelaide (Via)
20139,Calabiana Arcivescovo (Via)
20158,Calabria (Via)
20132,Calabria Don Giovanni (Via)
20137,Calamatta Luigi (Via)
20151,Calandra Davide (Via)
20122,Calatafimi (Via)
20152,Calchi-Taeggi (Via del)
20123,Calco Tristano (Via)
20122,Caldara Emilio (Via)
20153,Caldera (Via)
20123,Calderini Aristide (Via) 
20122,Calderon De La Barca Pietro (Via)
20159,Calderoni Antonio (Via)
20161,Caldesi Vincenzo (Via)
20144,California (Via)
20156,Calisto da Lodi (Via)
20161,Calizzano (Via)
20121,Callas Maria (Largo)
20148,Calliano (Via)
20161,Caltagirone (Via)
20129,Caltanissetta (Via)
20123,Calusca (Vicolo)
20137,Calvairate (Via)
20154,Calvino Giovanni (Via)
20129,Calvi Pietro (Via)
20133,Calzecchi Temistocle (Via)
20157,Calzini Raffaele (Via)
